,descr,netname
3081,"Kussmaulstr. 17|W-7500 Karlsruhe, FRG|",BAW
3084,,PTB-IB-LAN
3085,,PTBBS
3089,,PUBLIC_IPV6_NETWORKS_MUELLER_SERVICE_GMBH
3090,Dissen|,HOHMAN-NET
3091,,PUBLIC-NETWORKS-MUELLER-SERVICE-GMBH
3098,,DE-METRIDOCOM-20160812
3099,,DE-METRIDOCOM-20160812
3110,,NET-GAISER-1
3114,,IVU-TRAFFIC-TECHNOLOGIES-AG
3125,,FARN
3127,NWL|,DE-GOV-NWL-20150323
3128,Hauptstandort|,SCHBUND-NET
3130,Kumeno.de - Germany - G1 Germany|,DE-KUMENO-01
3131,Ahmadiyya Muslim Jamaat Deutschland Kd?R|,DE-Ahmadiyya-01
3132,Failover Ips|,OVH_143333817
3134,,COM-CON-AG-NET
3137,,BPOLNET
3139,DOI Zentrale Anschluesse|,DOI-ZSP-PKI
3140,DOI|,DE-GOV-DOI-20111123
3143,NdBv6 BMVI|,DE-GOV-NdBv6-20151310
3144,NdBv6-BMWI|,NdBv6-BMWI
3145,"NdBv6-BMUB, BMBF, BMZ|",DE-GOV-NdBv6-20151310
3146,NdBv6-BMF|,DE-GOV-NdBv6-20151310
3147,"NdBv6 BMJV, BMS, BMFsJ, BMG|",DE-GOV-NdBv6-20151310
3148,Ndbv6 BKAMT|,DE-GOV-NdBv6-20151310
3149,NdBv6-BMEL|,DE-GOV-NdBv6-20151310
3150,NdBv6 BMI|,DE-GOV-NdBv6-20151007
